gruppo,n,tipo,metrica,v01,oggi,wiki,delta_oggi_v01,p,dist_wiki_v01,dist_wiki_oggi,avvicina
riscritto,12,lettera,cv_tau,0.9187534055487246,0.930491136000231,0.9320087247328311,0.012699902752771719,0.0009765625,0.012518224693126634,0.009909971615054969,True
riscritto,12,lettera,gamma,1.0851773859592249,1.1004230180925796,1.1537117285296343,0.025203429364760832,0.00048828125,0.06059628451957555,0.04800181421300442,True
riscritto,12,funzione,cv_tau,0.9741851584305918,1.001001715226071,1.0257364366255912,0.02643799856432122,0.00048828125,0.04816972669695507,0.05025550571313914,False
riscritto,12,funzione,gamma,1.0746797335050056,1.0939797221491339,1.138672214454412,0.013015561644802887,0.17626953125,0.05181556024921219,0.046803137302818154,True
riscritto,12,appaiata,cv_tau,0.996501962198973,1.027844339835495,1.1160881065830224,0.018774794345908008,0.33935546875,0.12075824532151413,0.2065817643622127,False
riscritto,12,appaiata,gamma,0.9779177429880697,1.0386342946186118,1.0902135795494727,0.036363945988318436,0.00927734375,0.10152507087035978,0.06286671120178722,True
riscritto,12,keyword,cv_tau,1.4533018727481113,1.3979926661365552,1.5712857418981434,-0.06421325844955572,0.30126953125,0.20091590009120786,0.19983047747568694,True
riscritto,12,keyword,gamma,1.1900869912669347,1.1966223145570707,1.261017889951705,0.012824593889345537,0.38037109375,0.07240524555960415,0.07046148436134281,True
intermedio,9,lettera,cv_tau,0.9287643535742641,0.9269119644088755,0.9399962646221796,-0.0001592369027031415,1.0,0.009768089241089961,0.009426121156297596,True
intermedio,9,lettera,gamma,1.0791565852688023,1.0834964226917483,1.1359565613578966,0.0016404368817941606,0.91015625,0.06771413860566544,0.05477262492228552,True
intermedio,9,funzione,cv_tau,0.9620716546358854,0.9729613371817786,0.9910195092953668,0.011570754945827821,0.25,0.024625494469051712,0.04958959002005359,False
intermedio,9,funzione,gamma,1.0960834089767972,1.1035337109495347,1.1027228242345182,0.009636379951886598,1.0,0.033830938187527027,0.016512952612564913,True
intermedio,9,appaiata,cv_tau,1.048408257405064,1.0676751968138947,1.1169807764609547,-0.0265292554828096,0.49609375,0.11593690375607357,0.10282773166792891,True
intermedio,9,appaiata,gamma,1.0065801294283303,1.015438075783037,1.0819541435888842,-0.0195337468363872,0.734375,0.07633184818617489,0.06070062657749831,True
intermedio,9,keyword,cv_tau,1.4836572559841503,1.492544611633551,1.6120336907183088,-0.01623753449204779,0.8203125,0.19350749028819791,0.2431220923397428,False
intermedio,9,keyword,gamma,1.2006521200426066,1.2017334905510637,1.2249998523518433,0.0041345572104039,0.5703125,0.021812812902034517,0.021285718221499828,True
invariato,18,lettera,cv_tau,0.9212869986130111,0.9187558207455911,0.9317654202608222,-0.0017777584421035941,7.62939453125e-05,0.011600619748974694,0.013256045789485638,False
invariato,18,lettera,gamma,1.0834083539863473,1.081900005805544,1.1711334894232621,-0.006743762669638165,7.62939453125e-05,0.08161007181353286,0.08747620453425209,False
invariato,18,funzione,cv_tau,0.950711004364562,0.9482425337300977,0.9977821559435316,0.00042908364355209727,0.6094589233398438,0.05020396095299501,0.05020629360491424,False
invariato,18,funzione,gamma,1.087362194779319,1.0881779781845973,1.1469893165677392,0.00035397165139883224,0.6396942138671875,0.07856438619458495,0.0760545247029818,True
invariato,18,appaiata,cv_tau,1.038577937703781,1.0196983997676905,1.2280795717715312,-0.0014373365425399132,0.7987060546875,0.17358582055066796,0.19652710166237997,False
invariato,18,appaiata,gamma,1.0071919966417977,1.0011517659366442,1.0983949901188228,-0.006153816600595663,0.7337265014648438,0.08752056463446278,0.10064192468891903,False
invariato,18,keyword,cv_tau,1.2584483470906305,1.2544347195600007,1.4834859035047656,-0.009813688801759035,0.83172607421875,0.16891826612929672,0.1457945129371082,True
invariato,18,keyword,gamma,1.1133780857643372,1.1134650645022217,1.21657967509843,-0.00019623293869219793,0.932281494140625,0.09040838287320585,0.10057114013822865,False
