corpus,tipo,n_doc,cv,cv_sd,gamma,gamma_sd
letterario,lettera,20,0.9495779673039447,0.009653661109604496,1.151745410896248,0.03152011885216052
letterario,funzione,20,1.191976025663299,0.20184538532169707,1.2036138867947348,0.053268147479713396
letterario,appaiata,20,1.2619466885147745,0.1508502855493021,1.1109775625836504,0.037524004035472174
letterario,keyword,20,1.7892790705117725,0.3350477078117461,1.3240987469400172,0.05177663410660075
wikipedia,lettera,39,0.9348015341455271,0.010055279455535093,1.149205424610521,0.03739779136891597
wikipedia,funzione,39,1.0330090950120443,0.08422590155894497,1.138807266802454,0.04799971479012478
wikipedia,appaiata,39,1.1902660391889357,0.1474307699353665,1.091712075373731,0.04184836472601895
wikipedia,keyword,39,1.5364548262959952,0.1942574858701897,1.2257924840940833,0.0629584763591129
grok_v01,lettera,39,0.9224150838814743,0.007881050022575383,1.0856746162822764,0.022270840839861663
grok_v01,funzione,39,0.9669474960368046,0.04336427513449793,1.0817470592102854,0.04051661601423567
grok_v01,appaiata,39,1.0436006959761182,0.12798287042883794,1.0070235285155038,0.05102087567626665
grok_v01,keyword,39,1.3870363713012506,0.22984399332151356,1.1532390936343773,0.0691111390603808
grok_oggi,lettera,39,0.9273394069343658,0.019076484148778286,1.0903665830896678,0.02750582482848119
grok_oggi,funzione,39,0.9787038419330315,0.04763047720423606,1.0881130668374315,0.04274149355902344
grok_oggi,appaiata,39,1.0554380705916966,0.13438511457428715,1.0186243526843333,0.04246077394120267
grok_oggi,keyword,39,1.3789367717077563,0.23079617881246312,1.1664196301163254,0.08332597864661165
