sequenza,livello,n_eventi,n_chars,frequenza,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,corpus,titolo
he,parole,206,60000,0.0034333333333333334,1.2149772587640635,0.00523733617427785,1.186253514539969,True,290.47317073170734,398.1637823320645,1.3707420252585893,0.1563822724314133,1.0612189530904144,1.2116865115117752,funzione,wikipedia,Albert Einstein
einstein,parole,186,60000,0.0031,1.079617375318048,0.021251196366854463,0.9348031856485094,True,322.7189189189189,261.1325394751446,0.8091640253069653,-0.105482958992983,0.9536538813910954,0.9432390317782507,keyword,wikipedia,Albert Einstein
theory,parole,35,60000,0.0005833333333333334,1.2477817437971763,0.017878811018721852,1.1767456370958265,True,1757.1764705882354,3855.302758779631,2.194032769792907,0.37383234796001324,0.9429759353558831,1.2308442799636243,keyword,wikipedia,Albert Einstein
einstein's,parole,34,60000,0.0005666666666666667,0.9267446430425291,0.008174780459686047,0.9403724403050185,True,1675.969696969697,1583.8583918087595,0.9450399936660651,-0.028256491646911974,0.9449455231168332,0.9350750991938223,keyword,wikipedia,Albert Einstein
relativity,parole,29,60000,0.00048333333333333334,1.5441755703460727,0.020003468278984703,1.4189988366913866,True,2127.5,6064.941424406462,2.850736274691639,0.4806188070721211,0.9629604346581607,1.3771022279225207,keyword,wikipedia,Albert Einstein
physics,parole,29,60000,0.00048333333333333334,1.1611396868747936,0.011926465952250305,1.0888370539322403,True,2002.5357142857142,2801.0754744369287,1.3987643039045854,0.1662373844964665,0.9915599194473904,1.138580336361007,keyword,wikipedia,Albert Einstein
german,parole,27,60000,0.00045,1.251411319714304,0.009668586856797456,1.1994639015800097,True,1901.8846153846155,2347.3991450441163,1.2342489791734317,0.10484461729958712,0.898052742138517,1.144199303806748,keyword,wikipedia,Albert Einstein
first,parole,21,60000,0.00035,0.9444011971096621,0.0051854388535343765,0.920492556470388,True,2852.45,2358.2531553539457,0.8267465355585359,-0.09484264021800433,1.0224450365855866,0.9582132838674507,keyword,wikipedia,Albert Einstein
was,parole,139,60000,0.0023166666666666665,1.062106058277438,0.007374487425487027,1.0156828290647353,True,430.5869565217391,413.3483839861411,0.959964944886277,-0.020426413859175374,0.9722090173317852,1.0020661254100502,appaiata,wikipedia,Albert Einstein
not,parole,35,60000,0.0005833333333333334,1.0865434014852104,0.004269473278444427,1.0876003955144968,True,1587.6764705882354,1611.0340312149276,1.0147117886165047,0.007302180242171096,1.0505153659802493,1.0521547391401072,appaiata,wikipedia,Albert Einstein
be,parole,31,60000,0.0005166666666666667,0.958344671616588,0.0068003732732504945,0.9805438709562097,True,1906.7333333333333,1309.9063123469696,0.686989779560314,-0.18554363768657023,0.9986940360654201,0.9266938787380322,appaiata,wikipedia,Albert Einstein
it,parole,31,60000,0.0005166666666666667,1.0491120580085374,0.004214598590154039,1.0772032907122364,True,1886.4,2342.3121291460775,1.2416836986567417,0.1078134702061504,1.0036073800778234,1.0260864619020638,appaiata,wikipedia,Albert Einstein
when,parole,27,60000,0.00045,1.0464797866264626,0.005019873709858999,1.0220325943761117,True,2123.076923076923,2645.2378180129954,1.2459453490640922,0.10950638187459906,0.9238218175818212,1.0648766620649035,appaiata,wikipedia,Albert Einstein
but,parole,24,60000,0.0004,1.0410788176255708,0.012954698196598056,1.0666084032422625,True,2248.9565217391305,1868.1382194887574,0.8306688908525968,-0.09249685183022953,1.0584944511244305,1.0027554307042663,appaiata,wikipedia,Albert Einstein
also,parole,21,60000,0.00035,0.9095647443956081,0.00578305876737681,0.9461003835227145,True,2901.65,2383.5951014999882,0.8214619618148254,-0.09801908682588523,1.0141577617566868,0.9314627360549531,appaiata,wikipedia,Albert Einstein
vocali,vc,18770,60000,0.31283333333333335,1.1158345724579568,0.0035208047454909405,1.0959094866327836,True,3.196547498534818,1.5952951973617757,0.49906819720119955,-0.33416211732998774,1.0019186846061938,0.9787803014030442,vocali,wikipedia,Alexander the Great
spazio,lettere,9520,60000,0.15866666666666668,1.2573144015495064,0.009732266784264497,1.198711405478337,True,6.302132576951361,2.98819324621535,0.4741558844928141,-0.3567086229066633,1.031050026538107,0.9743494528026787,spazio,wikipedia,Alexander the Great
