tipo,gruppo,n_doc,cv,cv_sd,gamma,gamma_sd,p_vs_lett
lettera,letterario,20,0.9496200993598238,0.0111932144658667,1.1444522151341863,0.03384924560217497,
lettera,wikipedia,40,0.9337532734630163,0.01081539271540858,1.1394959609686464,0.03316721374563698,1.0895595867079248e-05
funzione,letterario,20,1.1817203166663677,0.1902280495556053,1.2102194004939886,0.06028792401885496,
funzione,wikipedia,40,1.0154235618307688,0.06866561859805968,1.1349634441525254,0.05150217327059861,3.918297992392226e-07
appaiata,letterario,20,1.1969193239433822,0.11738048096370077,1.0929762348259744,0.04479728552719799,
appaiata,wikipedia,40,1.228142490796269,0.19174259815525027,1.096077536650098,0.043544303469916654,0.9188137194818823
keyword,letterario,20,1.6189613294215324,0.29422915468120137,1.3053088735090261,0.06506131108470584,
keyword,wikipedia,40,1.5057412348214978,0.19936398634995492,1.2209022110713137,0.06731256404196369,0.1224422611376219
