tipo,gruppo,n_doc,cv,cv_sd,gamma,gamma_sd,p_vs_lett
lettera,letterario,20,0.9496200993598238,0.0111932144658667,1.1444522151341865,0.03384924560217496,
lettera,wikipedia,40,0.9337532734630163,0.010815392715408581,1.1394959609686466,0.03316721374563696,1.0895595867079248e-05
funzione,letterario,20,1.1817203166663677,0.1902280495556053,1.2102194004939886,0.060287924018854896,
funzione,wikipedia,40,1.0154235618307688,0.06866561859805968,1.1349634441525256,0.05150217327059867,3.918297992392226e-07
appaiata,letterario,20,1.192661782576841,0.11935282769285005,1.0911674568775982,0.045598654721115926,
appaiata,wikipedia,40,1.2248571761738176,0.1957289175185188,1.0951591832880578,0.04494017313713647,0.8079593871815032
keyword,letterario,20,1.620308393923175,0.2966873859064826,1.3094282132981097,0.06792639476271223,
keyword,wikipedia,40,1.5145332792478468,0.194471270356787,1.2234700140635986,0.06553450142674122,0.1513342684115093
