sequenza,livello,n_eventi,frequenza,n_chars,gamma,gamma_se,gamma_stretto,stimabile,mean_tau,sigma_tau,cv_tau,B_goh,gamma_A1,gamma_A2,tipo,label,gruppo,fonte
h,lettere,1716,0.03432,50000,1.234368541487052,0.007736112286516785,1.219236661171043,True,29.146938775510204,26.442303843880456,0.9072068956379655,-0.04865392662655771,1.0076129683699857,0.9235096558575212,lettera,Industrial Revolution,wikipedia,Industrial Revolution
l,lettere,1692,0.03384,50000,1.1427342421842497,0.007141794276759965,1.1921458190084915,True,29.554701360141927,28.595192318676972,0.9675344700738893,-0.016500615577470196,1.0293447308566925,0.9905735050603646,lettera,Industrial Revolution,wikipedia,Industrial Revolution
c,lettere,1505,0.0301,50000,1.2235451844564864,0.01070412796951401,1.138468455751639,True,33.211436170212764,32.54464933693893,0.9799229750301532,-0.010140306074048642,1.091279288924919,0.9840594233707476,lettera,Industrial Revolution,wikipedia,Industrial Revolution
u,lettere,1223,0.02446,50000,1.1168340112031057,0.01030298949475329,1.0494266417137919,True,40.89525368248773,40.390787546787955,0.9876644331487349,-0.00620606106621521,1.0373535977393773,1.0236546919979337,lettera,Industrial Revolution,wikipedia,Industrial Revolution
m,lettere,1009,0.02018,50000,1.213682036291284,0.013740910208822031,1.1375881035717939,True,49.57242063492063,48.38342713311689,0.9760150203162326,-0.01213805534733686,0.9524517467761985,1.0771112109433825,lettera,Industrial Revolution,wikipedia,Industrial Revolution
p,lettere,914,0.01828,50000,1.0793402015513927,0.010951219693687212,1.1147442463558828,True,54.51040525739321,56.070348114351255,1.0286173410304351,0.014106820666286409,0.9529620011672836,0.9762619666113155,lettera,Industrial Revolution,wikipedia,Industrial Revolution
w,lettere,875,0.0175,50000,1.323126545965613,0.011249215828069202,1.2452119011387368,True,56.95080091533181,60.75412754907258,1.066782671579898,0.03231238218619661,0.9861169070819112,1.0347850291383693,lettera,Industrial Revolution,wikipedia,Industrial Revolution
f,lettere,832,0.01664,50000,1.0932226636045992,0.006891190172186236,1.126793730437499,True,60.104693140794225,59.57866008046872,0.9912480534740726,-0.004395206569396551,0.9360731660576613,0.9610897341289255,lettera,Industrial Revolution,wikipedia,Industrial Revolution
g,lettere,810,0.0162,50000,1.104458026878415,0.005963798728521027,1.1002867694165321,True,61.567367119901114,63.865233442680506,1.0373227966416745,0.018319530269428844,0.9417927984081137,1.0363056238638342,lettera,Industrial Revolution,wikipedia,Industrial Revolution
b,lettere,629,0.01258,50000,1.1778769389860595,0.009438053864033725,1.1380020462835185,True,79.39331210191082,82.01229001056146,1.0329873869638901,0.016226065727419126,0.9191832620918724,1.0068302336082804,lettera,Industrial Revolution,wikipedia,Industrial Revolution
the,parole,573,0.01146,50000,1.0536473030152589,0.0161298685254989,1.1565186741541547,True,87.23076923076923,83.67167025708522,0.9591990417478906,-0.020825325749296495,1.0140450282157605,1.022159327045843,funzione,Industrial Revolution,wikipedia,Industrial Revolution
and,parole,289,0.00578,50000,1.1099562303848498,0.0019211110584522314,1.1084282421271123,True,172.68055555555554,165.3698906560042,0.9576636473282638,-0.021625958437505387,1.0146568797169258,1.0625034193335314,funzione,Industrial Revolution,wikipedia,Industrial Revolution
