tipo,gruppo,modello,n_doc,cv_media,cv_sd,cv_rapporto,gamma_media,gamma_sd,gamma_rapporto,p_mw
lettera,umano,Guerra e pace,20,0.9496200993598238,0.0111932144658667,1.0,1.1444522151341863,0.03384924560217497,1.0,
lettera,llm,Qwen3.5-2B-Base-v2,3,0.9830064228646028,0.037165595614247364,1.035157557772088,1.215369310477234,0.07352031629453329,1.0619659732448792,0.05985319028797289
funzione,umano,Guerra e pace,20,1.1817203166663677,0.1902280495556053,1.0,1.2102194004939886,0.06028792401885496,1.0,
funzione,llm,Qwen3.5-2B-Base-v2,3,1.2845548540510245,0.179518160236161,1.0870210454490221,1.2668896353383097,0.11337426871266015,1.0468264141371304,0.2676453980801807
appaiata,umano,Guerra e pace,20,1.1969193239433822,0.11738048096370077,1.0,1.0929762348259744,0.04479728552719799,1.0,
appaiata,llm,Qwen3.5-2B-Base-v2,3,1.3672037227437335,0.03655288896570598,1.1422689026686699,1.191894054541596,0.05090162945499166,1.09050317524184,0.025974025974025972
keyword,umano,Guerra e pace,20,1.6189613294215324,0.29422915468120137,1.0,1.3053088735090261,0.06506131108470584,1.0,
keyword,llm,Qwen3.5-2B-Base-v2,3,1.7604874560405144,0.6378025223191602,1.0874178549215567,1.2869325341559732,0.19647094166594406,0.9859218459891012,0.634669678147939
