gruppo,modello,metrica,documenti,vittorie,confronti,frazione,ic_lo,ic_hi,p,diff_media
umano,Guerra e pace,cv_tau,20,103,140,0.7357142857142858,0.6570827509682577,0.8017553042257892,2.1773240965610598e-08,0.42204200547815024
umano,Guerra e pace,gamma,20,122,140,0.8714285714285714,0.8059147605959991,0.9171027809218928,3.5726649331846444e-20,0.21233263868305144
llm,Qwen3.5-2B-Base-v2,cv_tau,3,13,21,0.6190476190476191,0.40878295815501514,0.7924923220201749,0.38331031799316406,0.3932837332967808
llm,Qwen3.5-2B-Base-v2,gamma,3,15,21,0.7142857142857143,0.500432261771624,0.8618632425437179,0.0783538818359375,0.09503847961437704
