modello,n_doc,top_mediana,top_min,top_max,occorrenze_mediane,frac_sopra_soglia
Guerra e pace,20,66.5,47,115,35.0,1.0
Qwen3.5-2B-Base-v2,3,106.0,81,165,53.0,1.0
