mu,lo,hi,k,n,corpus,tipo,n_seq,banda_2_3,gamma_pred
5.107037473371397,4.974032273083789,5.127603768586235,72062,720616,wikipedia,vocali,39,False,-1.1070374733713972
7.3026760713538765,7.180761159471428,7.374377508298351,36341,363410,wikipedia,spazio,39,False,-3.3026760713538765
4.152538964646985,4.138466520939152,4.165766202489814,180367,1803670,wikipedia,lettera,741,False,-0.15253896464698524
3.7930958675670863,3.7442820203029323,3.850351438650998,8303,83026,wikipedia,funzione,234,False,0.20690413243291372
3.0498911732089122,2.96416738314699,3.1343390453283164,1866,18656,wikipedia,keyword,273,False,0.9501088267910878
3.523708622238039,3.4008047937606865,3.64099477919589,1458,14576,wikipedia,appaiata,273,False,0.47629137776196107
4.417030139047808,4.3810288318858275,4.444238452003264,72724,727239,grok_v01,vocali,39,False,-0.4170301390478084
7.533100847389922,7.480508023143089,8.003619572898991,32698,326977,grok_v01,spazio,39,False,-3.533100847389922
4.199205753578013,4.1856866659847665,4.208445204768975,182392,1823916,grok_v01,lettera,741,False,-0.1992057535780134
3.8838809511221672,3.8142058223969424,3.95114537237839,5251,52508,grok_v01,funzione,234,False,0.11611904887783275
2.9590509442086974,2.8767333253516663,3.0456237644168724,1225,12249,grok_v01,keyword,259,True,1.0409490557913026
3.724482496359968,3.592903514466625,3.8867814892533272,1022,10223,grok_v01,appaiata,254,False,0.27551750364003214
4.389238192116522,4.356127689690145,4.414698419949176,72333,723334,grok_oggi,vocali,39,False,-0.38923819211652244
6.891656983199827,6.811829442130222,7.0510199560811335,32638,326381,grok_oggi,spazio,39,False,-2.8916569831998267
4.177816032487757,4.166723244773587,4.191254486130376,181367,1813667,grok_oggi,lettera,741,False,-0.17781603248775735
3.882252455475987,3.818987925811476,3.9552799767032574,5279,52793,grok_oggi,funzione,234,False,0.11774754452401304
3.0432201460644084,2.9522660559208567,3.1667181354504677,1236,12359,grok_oggi,keyword,259,False,0.9567798539355916
3.832693968584784,3.680357574995735,3.978776335830413,1062,10617,grok_oggi,appaiata,259,False,0.16730603141521616
5.277384698790636,5.225855338464886,5.328524043227093,35117,351166,letterario,vocali,20,False,-1.2773846987906357
5.458390641362115,5.384064387725151,5.532729208537343,19218,192180,letterario,spazio,20,False,-1.458390641362115
4.117619657239583,4.100388649953216,4.138473302282138,90478,904780,letterario,lettera,380,False,-0.11761965723958312
3.5093639916783275,3.439790202312606,3.5764617450117795,4061,40611,letterario,funzione,120,False,0.49063600832167253
2.4902745317712656,2.407150049245619,2.5865410857218043,633,6329,letterario,keyword,138,True,1.5097254682287344
3.5635170004108376,3.368656595676576,3.7250061592003854,607,6071,letterario,appaiata,138,False,0.43648299958916237
