parola,n,mu,lo,hi,cv_tau
prince,1913,1.8745292411320253,1.7942285609154458,1.9958461679256276,3.8919916967259662
pierre,1963,1.7968234431597325,1.6795800950794972,1.9489966544975803,6.862546742993327
andrew,1143,1.7664554719162753,1.6633639790972223,1.8794964210543592,4.107849890245226
princess,916,1.6841098923487368,1.5836599537072014,1.853055311524414,5.434834526825961
e,310157,4.074864990393044,4.036264325081661,4.1143377726991535,0.84358216287782
t,223594,3.9719107354249883,3.9491498792199793,4.296482194888775,0.8964125874033715
