gruppo,n,tipo,metrica,v01,oggi,wiki,delta_oggi_v01,p,dist_wiki_v01,dist_wiki_oggi,avvicina
riscritto,12,lettera,cv_tau,0.9187534055487246,0.930491136000231,0.9320087247328311,0.012699902752771719,0.0009765625,0.012518224693126634,0.009909971615054969,True
riscritto,12,lettera,gamma,1.0851773859592244,1.1004230180925796,1.153711728529634,0.02520342936476072,0.00048828125,0.06059628451957544,0.04800181421300431,True
riscritto,12,funzione,cv_tau,0.9741851584305918,1.001001715226071,1.0257364366255912,0.02643799856432122,0.00048828125,0.04816972669695507,0.05025550571313914,False
riscritto,12,funzione,gamma,1.0746797335050053,1.0939797221491339,1.138672214454412,0.013015561644802887,0.17626953125,0.05181556024921208,0.046803137302818154,True
riscritto,12,appaiata,cv_tau,1.0713547265525967,1.0354634966539935,1.1173507696474785,0.05685293887366605,0.1513671875,0.17601424873530636,0.20137427267915192,False
riscritto,12,appaiata,gamma,0.9767861591416065,1.0503417712464138,1.0902135795494727,0.05509679977211873,0.0009765625,0.10827944209676921,0.02859688371754321,True
riscritto,12,keyword,cv_tau,1.4089064533450522,1.3676777834928362,1.5712857418981434,-0.03403757495249404,0.30126953125,0.2602898391913966,0.24588925724830668,True
riscritto,12,keyword,gamma,1.148666928603975,1.1723337905066717,1.261017889951705,0.011230760975722509,0.791015625,0.1056654373405902,0.11526850715943027,False
intermedio,9,lettera,cv_tau,0.9287643535742641,0.9269119644088755,0.9399962646221796,-0.0001592369027031415,1.0,0.009768089241089961,0.009426121156297596,True
intermedio,9,lettera,gamma,1.079156585268802,1.083496422691748,1.1359565613578966,0.0016404368817941606,0.91015625,0.06771413860566522,0.05477262492228552,True
intermedio,9,funzione,cv_tau,0.9620716546358854,0.9729613371817786,0.9910195092953668,0.011570754945827821,0.25,0.024625494469051712,0.04958959002005359,False
intermedio,9,funzione,gamma,1.0960834089767972,1.1035337109495347,1.1027228242345182,0.009636379951886376,1.0,0.03383093818752725,0.016512952612564913,True
intermedio,9,appaiata,cv_tau,1.0734670444101264,0.9738909081188307,1.1169807764609547,-0.06069562165586806,0.30078125,0.08665873305803251,0.12548673963535606,False
intermedio,9,appaiata,gamma,1.013275410304186,1.0013500071656336,1.0852584493479582,-0.0195337468363872,0.42578125,0.05231892368196789,0.06070062657749831,False
intermedio,9,keyword,cv_tau,1.3791638872418093,1.3784512696714424,1.5572864393168362,0.0007875810606507994,0.91015625,0.27507731798638146,0.27428973692573067,True
intermedio,9,keyword,gamma,1.1780492546454322,1.1765548076822945,1.2249998523518433,0.004134557210404122,0.49609375,0.03541669798519109,0.021285718221499605,True
invariato,18,lettera,cv_tau,0.9212869986130111,0.9187558207455911,0.9317654202608222,-0.0017777584421035941,7.62939453125e-05,0.011600619748974694,0.013256045789485638,False
invariato,18,lettera,gamma,1.0834083539863473,1.0819000058055437,1.171133489423262,-0.006743762669638276,7.62939453125e-05,0.08161007181353286,0.08747620453425231,False
invariato,18,funzione,cv_tau,0.950711004364562,0.9482425337300977,0.9977821559435316,0.00042908364355209727,0.6094589233398438,0.05020396095299501,0.05020629360491424,False
invariato,18,funzione,gamma,1.087362194779319,1.0881779781845973,1.1469893165677392,0.0003539716513987212,0.6396942138671875,0.07856438619458472,0.07605452470298169,True
invariato,18,appaiata,cv_tau,1.0671790076864913,1.0319569164094369,1.2226644539409097,0.010851788686969066,0.7660293579101562,0.1850219885493306,0.12859318901364042,True
invariato,18,appaiata,gamma,1.014524828909198,1.014615759578596,1.0983949901188228,0.015442774841794848,0.5798416137695312,0.07735705488986044,0.08193881211982579,False
invariato,18,keyword,cv_tau,1.1544370859750543,1.1508474872572767,1.477116281233911,-0.011849871141397794,0.06653594970703125,0.22692237637375678,0.23054468444785048,False
invariato,18,keyword,gamma,1.0887713628020939,1.076514702615548,1.2075484681407693,-0.004895993611115701,0.05385589599609375,0.12430676039682192,0.1421668418137345,False
