N,n_tau,max_norm,mu,tau_c
30000,2722,34.861408335880974,2.2749253641155756,13.532706085868204
60000,6329,38.11482819428513,1.7566239524133365,11.209233913085779
120000,10982,73.84147650046498,1.9172738365778788,32.12030373143271
240000,12072,101.69834850596867,1.990400450483766,98.08202272855314
480000,9939,130.91095434125344,1.9997493882565784,94.67666551236307
