modello,temperatura,n_token,alpha,MAPE,beta,R,TTR,alpha_DFA,alpha_DFA_mescolato,R_gzip,compr_condizionata,prefix_trend,NCD_shuffle,H_bit_char,H_parola_norm,D_s_umano,LCS_umano,rip_8gram,dist_rip_media,quota_non_ascii,max_fft,gapelmaper,copertura
Qwen2.5-3B,0.4,20000.0,0.348,0.6279,0.0006,0.0028,0.0065,0.4461,0.4987,0.0132,0.0049,-0.0287,1.0174,0.001,0.6592,1.7912,22.8,0.985,25.6659,0.0063,6.3505,1.0076,0.9983
Qwen2.5-3B,0.5,20000.0,0.3209,0.4524,0.0059,0.0097,0.0075,0.6454,0.4949,0.0155,0.0048,-0.0068,1.0244,0.0014,0.5335,1.7269,25.0,0.9828,12.497,0.0003,11.8257,0.9849,0.9994
Qwen2.5-3B,0.6,20000.0,0.3668,0.4448,0.0043,0.0,0.0094,0.684,0.5121,0.018,0.0051,-0.0089,1.025,0.0652,0.5122,1.827,22.4,0.9768,15.3347,0.0002,13.0211,1.024,0.9996
Qwen2.5-3B,0.7,20000.0,0.4475,0.2859,0.0264,0.0022,0.0155,0.8098,0.4907,0.0317,0.0062,-0.0144,1.0218,0.0014,0.4339,1.5755,25.2,0.9396,12.7377,0.0111,15.1426,1.0465,0.9882
Qwen2.5-3B,0.8,20000.0,0.5241,0.2931,0.0818,0.0112,0.0263,0.7316,0.4959,0.0456,0.0074,-0.0023,1.0207,0.0462,0.4292,1.8085,23.4,0.9065,18.6488,0.0014,24.4085,2.433,0.9978
Qwen2.5-3B,0.9,20000.0,0.5984,0.2083,0.2843,0.0032,0.0538,0.7981,0.5017,0.1073,0.0188,-0.004,1.0062,0.3317,0.4716,0.9139,26.0,0.7072,50.6365,0.0172,11.6538,0.8366,0.8988
Qwen2.5-3B,1.0,20000.0,1.4245,0.3928,0.7655,0.4552,0.2434,0.6994,0.5047,0.6503,0.6932,-0.0024,0.9893,5.7718,0.9526,1.397,28.0,0.0255,241.5796,0.2864,0.236,0.6733,0.3938
Qwen2.5-3B,1.1,20000.0,1.3671,0.4188,0.7864,0.5378,0.3701,0.6565,0.4804,0.6956,0.6881,-0.0002,0.9826,4.5445,0.981,1.0884,22.5,0.0005,336.9245,0.18,0.0981,1.5181,0.3352
Qwen2.5-3B,1.2,20000.0,1.4174,0.5938,0.7715,0.6193,0.416,0.623,0.4933,0.7032,0.6869,-0.0016,0.9765,4.2296,0.9939,1.2515,18.6,0.0,721.5743,0.1718,0.0629,1.2534,0.2797
Qwen2.5-3B,1.3,20000.0,1.3999,0.643,0.7877,0.6581,0.4412,0.5472,0.4989,0.709,0.6917,-0.0093,0.9759,4.2045,0.9961,1.3043,15.8,0.0,978.7471,0.1694,0.0201,0.9589,0.2503
