modello,temperatura,sample_id,alpha_o1,alpha_o2,alpha_o2_mescolato,deriva
Qwen2.5-1.5B,0.8,4,0.7045081824317153,0.5537752968499138,0.4972599357278432,0.22576519536265655
Qwen2.5-1.5B,0.8,3,0.6408480439470539,0.5197225185408831,0.5004524951278233,0.10331617506308734
Qwen2.5-1.5B,0.6,5,0.9346149041615416,0.7525954323273687,0.5065549268544334,0.04808453928531544
Qwen2.5-1.5B,0.9,2,0.8582393228152946,0.7964202177008319,0.5067742904782231,0.25240417451931146
Qwen2.5-1.5B,0.9,3,0.8067600411719151,0.659597978094577,0.5025774576332122,0.327349433332819
Qwen2.5-1.5B,0.9,4,0.7494083754443219,0.6696128133606452,0.5077667941103732,0.17881207714769193
Qwen2.5-1.5B,0.9,5,0.8012301766185121,0.7344878886965326,0.48647276633132336,0.12019232845875423
Qwen2.5-1.5B,1.1,2,0.7147381636657861,0.6384562167051401,0.48393775479065165,0.29993830164121726
Qwen2.5-1.5B,1.0,1,0.5923668541676114,0.5740320971446391,0.5082967854004841,0.3730313267215252
Qwen2.5-1.5B,1.1,3,0.6788593741330833,0.6193040455590281,0.5001643486946317,0.16235625737562456
Qwen2.5-1.5B,1.1,1,0.691285123093891,0.672864257260464,0.5088073438244487,0.17980886073727764
Qwen2.5-1.5B,1.1,5,0.6043420392202282,0.5730409659142744,0.4918079355378079,0.16536523599636885
Qwen2.5-1.5B,1.0,4,0.6243809247771593,0.6334919280665151,0.5019156434707837,0.40215326031277204
Qwen2.5-1.5B,1.0,5,0.9062871575270475,0.7921687100610282,0.4914996443495436,0.6984813190790442
Qwen2.5-1.5B,1.0,3,0.7689032053260945,0.7079548268994207,0.49224191051574195,0.546811425879117
Qwen2.5-1.5B,1.2,1,0.6249400765816845,0.5701423975016428,0.5003562993105668,0.1508773001093156
Qwen2.5-1.5B,1.0,2,0.7879778572720856,0.7467803726763774,0.4968481809731796,0.7628467314302964
