,0
n_token,20000
n_tipi,3574
n_char,83162
n_parole,14542
valido,True
alpha,1.0755240377454527
MAPE,0.1414654109142129
alpha_rango,1.0300378231862406
beta,0.6683939257075573
R,0.5073808519611978
TTR,0.1787
TTR_parole,0.1737037546417274
rip_8gram,0.0
dist_rip_media,692.9765312916112
dist_rip_sd,1576.60514510463
alpha_DFA,0.5857649767684414
alpha_DFA_mescolato,0.48659963654304794
R_gzip,0.3809674545113487
compr_condizionata,0.36498008901382056
prefix_media,0.40561793276754754
prefix_trend,-0.0001194281005186071
prefix_var,0.0315610345573789
gap_shuffle,0.0267620489528545
NCD_shuffle,0.9630350768504587
H_char_norm,0.7144308507707541
H_parola_norm,0.7901489748841667
quota_non_ascii,0.014309420167865131
H_bit_char,2.226935185405852
D_s_umano,0.0
LCS_umano,
