modello,temperatura,sample_id,copertura,C_lag1,ampiezza,rumore,max_fft,gapelmaper,fase
Qwen2.5-1.5B,0.4,5,0.999785943631823,-0.11349818110466003,0.9841783046722412,0.01803235150873661,19.40899307280779,1.0021331160913507,solido (periodico)
Qwen2.5-1.5B,0.4,2,0.9999374687343672,-0.23897528648376465,0.9910781979560852,0.02364918403327465,24.852753861648733,1.2913641497260087,solido (periodico)
Qwen2.5-1.5B,0.5,3,0.9873417721518988,0.005289755761623383,0.9598507881164551,0.009862220846116543,3.6749219804815727,1.0092547474846394,solido (periodico)
Qwen2.5-1.5B,0.5,4,0.9998297582567246,-0.03374240919947624,0.9813306927680969,0.015388717874884605,6.356087993504082,0.9954292789188356,solido (periodico)
Qwen2.5-1.5B,0.6,2,0.9997892666479348,-0.13362540304660797,0.9709562063217163,0.02063445746898651,14.66043552508609,1.022661128170674,solido (periodico)
Qwen2.5-1.5B,0.5,5,0.97268708556994,0.019687820225954056,0.9436216354370117,0.014307036995887756,3.0762178538050935,0.9887425087506753,solido (periodico)
Qwen2.5-1.5B,0.4,1,0.9644995722840034,-0.04151264950633049,0.9541733860969543,0.01665801741182804,9.097993412929382,0.9654259927152271,solido (periodico)
Qwen2.5-1.5B,0.6,3,0.9999353963434331,-0.04471615329384804,0.9924614429473877,0.016544701531529427,16.174505954899654,0.8098625332543558,solido (periodico)
Qwen2.5-1.5B,0.4,4,0.9998140572703608,0.008610744960606098,0.9894485473632812,0.017140889540314674,7.709110818962481,0.9898106600309255,solido (periodico)
Qwen2.5-1.5B,0.4,3,0.9997954731388056,-0.09988315403461456,0.9751535058021545,0.013785007409751415,6.758016169211654,1.0509271541116232,solido (periodico)
Qwen2.5-1.5B,0.5,1,0.9999379229002421,0.031897976994514465,0.9882517457008362,0.011499965563416481,6.509817345424827,1.0150751225018733,solido (periodico)
Qwen2.5-1.5B,0.5,2,1.0,-0.20554132759571075,0.9881193041801453,0.02394183911383152,19.13857135599301,0.9936742347291547,solido (periodico)
Qwen2.5-1.5B,0.6,1,0.9998151798915722,-0.016205724328756332,0.9667041897773743,0.014817822724580765,12.749735989425082,0.9984062782836814,solido (periodico)
Qwen2.5-1.5B,0.7,1,0.9989017885158457,-0.24507658183574677,0.9024292230606079,0.016741925850510597,24.83995971639048,2.0041082301259467,solido (periodico)
Qwen2.5-1.5B,0.8,1,0.997318700505082,0.03725209832191467,0.7381501793861389,0.013733560219407082,10.603044087725106,1.003696942287611,solido (periodico)
Qwen2.5-1.5B,0.6,4,0.9989598983011673,-0.04472377523779869,0.9490888118743896,0.015515748411417007,7.80506062494567,1.0093502315937535,solido (periodico)
Qwen2.5-1.5B,0.7,3,0.9997186743937433,0.0546916238963604,0.9381042122840881,0.011090543121099472,8.580697097097843,0.9410999202976718,solido (periodico)
Qwen2.5-1.5B,0.7,5,0.999413059427733,-0.494566947221756,0.8396293520927429,0.03207597881555557,25.486768765645266,1.0041378011680426,solido (periodico)
Qwen2.5-1.5B,0.7,2,0.9998703487618307,-0.015006394125521183,0.8110618591308594,0.01132795587182045,1.7959983980565262,0.85459848137699,critico (power law)
Qwen2.5-1.5B,0.8,5,0.9988937333246567,-0.14990897476673126,0.8552026152610779,0.01754370890557766,32.147907238075405,0.8625775597090516,solido (periodico)
Qwen2.5-1.5B,0.7,4,0.9386678390855133,0.021753380075097084,0.7797002792358398,0.012451437301933765,1.5289233043081938,1.0543201468629466,gas (amorfo)
Qwen2.5-1.5B,0.8,4,0.9973898650369238,0.005599830765277147,0.7219378352165222,0.01898752897977829,9.624924676361106,0.5284926226291746,solido (periodico)
Qwen2.5-1.5B,0.8,3,0.9981492118195162,0.007152724079787731,0.8489981293678284,0.011083189398050308,6.64133125817934,0.9637486618840905,solido (periodico)
Qwen2.5-1.5B,0.6,5,0.9999407442521925,-0.07454586029052734,0.9844791293144226,0.02948484756052494,22.168753969034388,0.9981366597568128,solido (periodico)
Qwen2.5-1.5B,0.9,2,0.8288168614948637,0.05568700283765793,0.26183420419692993,0.012102720327675343,2.666814132276222,1.0011430184537482,gas (amorfo)
Qwen2.5-1.5B,0.9,3,0.9980060388537572,-0.5184102654457092,0.7408522367477417,0.017702551558613777,12.93224196697343,1.0016759684464425,solido (periodico)
Qwen2.5-1.5B,0.9,4,0.9945264765784114,0.03037978708744049,0.6718711256980896,0.015583835542201996,6.112878638203861,0.9903572527216621,solido (periodico)
Qwen2.5-1.5B,0.9,5,0.9814672997396232,0.012936164624989033,0.1560930758714676,0.021141745150089264,3.0928445598110557,1.037127293817783,solido (periodico)
Qwen2.5-1.5B,1.1,2,0.3696,0.016213171184062958,0.016213171184062958,0.0024237981997430325,0.13559664147188807,1.8704969352794059,non valutabile
Qwen2.5-1.5B,1.0,1,0.38349047527419666,0.028755005449056625,0.028755005449056625,0.0035605786833912134,0.07716374545748006,1.4966002991980443,non valutabile
Qwen2.5-1.5B,1.1,3,0.29390905298289527,0.009144732728600502,0.009144732728600502,0.002741554519161582,0.054801760143239585,1.4511867908438776,non valutabile
Qwen2.5-1.5B,1.1,1,0.26417848206839034,0.011464624665677547,0.011464624665677547,0.0025547100231051445,0.11239854933148372,0.5954633280970283,non valutabile
Qwen2.5-1.5B,1.1,5,0.27740970292797607,0.009203203022480011,0.009203203022480011,0.0028134232852607965,0.04090614415507255,2.3037483322960814,non valutabile
Qwen2.5-1.5B,1.0,4,0.6056863871338312,0.051530227065086365,0.051530227065086365,0.005670242942869663,0.252502537715528,1.1018322058645007,gas (amorfo)
