N_token,alpha,MAPE,beta,R,alpha_DFA,TTR
5000,1.1369427668937029,0.1394124502851813,0.7142884304944676,0.5989417989417989,0.5891243463941316,0.3022
10000,1.0736530349333604,0.16013986375112355,0.6884685199444356,0.5691594970218399,0.5996048180354706,0.2371
20000,1.0755240377454527,0.1414654109142129,0.6683939257075573,0.5073808519611978,0.5857649767684414,0.1787
50000,1.028780786260648,0.13374659166698202,0.6388157113770627,0.45122859270290394,0.5998901612915094,0.11694
100000,1.0172637752723954,0.09928370680698713,0.6211033503383142,0.47614161108260644,0.6159546445445843,0.08631
300000,0.9844876994450025,0.0846191585250471,0.5869760199631093,0.3283773139031115,0.6342157939122999,0.04497
